L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Blue Flame,"Blue Flame Chicken - Samosa, 240 g","It is a small triangular pastry of sorts filled with yummy minced chicken filling spiced with fragrant indian spices.
Makes for a perfect tea time snack with friends and family.
This product is ready to eat so you do not have go through the hassle of cooking when craving a snack.",240 g,g,240 g,1,1,195,195,"SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",India,40108130,1.27E+13,https://en.wikipedia.org/wiki/Chikki#/media/File:Peanut_Chikki.JPG,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40108130, Manufactured & Marketed by': 'SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P., Country of origin': 'India","SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",-,-,"Minced chicken meat
Soya protein
vegetables"
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Blue Flame,"Blue Flame Chicken - Spring Roll, 280 g","A cylindrical casing of a thin dough with minced chicken meat and vegetables.
If you are craving for a quick snack to enjoy with friends and family this makes for a perfect option.
Crunchy on the outside, with soft and hot filling on the inside. Serve hot with some ketchup or sauce of your choice.",280 g,g,280 g,1,1,230,188.6,"SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",India,40108131,1.27E+13,https://en.wikipedia.org/wiki/Chikki#/media/File:Chikki_assortment.jpg,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40108131, Manufactured & Marketed by': 'SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P., Country of origin': 'India","SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",-,-,"Chicken Breast meat, Vegetables, Spices"
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Blue Flame,"Blue Flame Chicken Reshmi Kebab, 240 g","This Reshami Kebab is composed of small patty minced chicken with ground chickpeas, egg to hold it together with spices.
Reshami kebab is eaten as a snack or appetizer. This is a Mughlai traditional dish prepared in India.
It gets its name from the succulence of the chicken after prolonged marinating and light braising.",240 g,g,240 g,1,1,190,190,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,40157303,1.27E+13,"https://en.wikipedia.org/wiki/Rasgulla#/media/File:The_famous_Indian_syrupy_dessert_Rasgulla,_from_West_Bengal.jpg",,,,https://en.wikipedia.org/wiki/Rasgulla#/media/File:Bengali_orange_rasgulla.jpg,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40157303, Country of origin': 'India, FSSAI Number': '12716055000616, Manufactured & Marketed by': 'Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,"Chicken Skinless (38.17%), Water (38.17%), Soaked Chana Dal (7.25%), Onion Paste, Egg Whole, Green Chilli Paste, Garlic Paste, Potato Flakes, Salt, Ginger Paste, Lemon Juice, Coriadder Powder, Cumin Powder Black Papper Powder, Paprika Powder, Cardamom Powder, Egg."
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Blue Flame,"Blue Flame Chicken Seekh Kebab, 240 g","Cooked fresh over charcoal, this seekh kebab will give you the taste of your home-cooked BBQ kebabs. Just heat and serve.",240 g,g,240 g,1,1,210,172.2,"Sirius Foods Pvt. Ltd. - C 17, Phase II, Noida",India,40207641,1.27E+13,"https://en.wikipedia.org/wiki/Gulab_jamun#/media/File:Gulab_jamun_(Gibraltar,_November_2020).jpg",,???? - Rasgulla - Wikipedia,,,https://en.wikipedia.org/wiki/Gulab_jamun#/media/File:Gulab_Jamun_Delhi.JPG,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry.,"EAN Code': '40207641, FSSAI Number': '12716055000012, Manufactured & Marketed By': 'Sirius Foods Pvt. Ltd. - C 17, Phase II, Noida, Country of Origin': 'India","Sirius Foods Pvt. Ltd. - C 17, Phase II, Noida",-,-,"Halal Chicken Minced (67%), Soya Protein (4%), Onion Paste (12%), Garlic Paste (4%), Ginger Paste (3%), Salt, Refined Flour, Spice, Green Chilli, Lemon Juice (3%), Coriander Leaves, Cinnamon Powder, Cardamom Powder, Flavour Enhancer (e 621), 
Allergen: Soya"
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Blue Flame,"Blue Flame Chicken Shami Kebab, 240 g","This Shami kebab is composed of small patty minced chicken chunks with ground chickpeas, and egg to hold it together with spices.
Shami kebab is eaten as a snack or appetizer .
This is a Mughlai traditional dish prepared in India.
It gets its name from the succulence of the chicken after prolonged marinating and light braising.",240 g,g,240 g,1,1,199,163.18,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,40157302,1.27E+13,https://en.wikipedia.org/wiki/Shrikhand#/media/File:Mango_Shrikhand.JPG,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40157302, Country of origin': 'India, FSSAI Number': '12716055000616, Manufactured & Marketed by': 'Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,"Chicken Skinless (39.10%), Water (39.10%), Soaked Chana Dal (7.62%), Onion Paste, Egg Whole, Green Chilli Paste, Garlic Paste, Potato Flakes, Chicken Masala Powder, Salt, Ginger Paste, Egg."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Bon Appetit,"Bon Appetit Chicken - Breast Ham Chilli, 100 g Pouch","Pieces form the lean fat free chicken breast filled with chili flakes oversmoked with natural wood smoke. Useable for Salad, Fingerfoods and Sandwiches.",100 g Pouch,g,100 g Pouch,1,1,162,162,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40015770,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40015770, Manufactured & Marketed By': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}, Country of origin': 'India","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Bon Appetit,"Bon Appetit Chicken - Cheese & Chili, 300 g Pouch","Bon Appetit Chicken - Cheese & Chili, 300 g Pouch",300 g Pouch,g,300 g Pouch,1,1,276,276,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40003078,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40003078, Manufactured & Marketed By': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}, Country of origin': 'India","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Bon Appetit,"Bon Appetit Chicken - Cold Cut Chili, 100 g Pouch",Sliced Cold Cut with Chile Flakes. Pur Chikcken Meat with nice Chile taste. Perfect for Sandwiches and Baguettes,100 g Pouch,g,100 g Pouch,1,1,99,99,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40015771,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40015771, Country of origin': 'India, Manufactured & Marketed by': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Bon Appetit,"Bon Appetit Chicken - Cold Cut Ham, 100 g Pouch",Sliced Pieces form a lean fatless Chicken Cold Cuts for Sandwiches and for doppings on Salads.,100 g Pouch,g,100 g Pouch,1,1,144,144,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele, Bangalore - 562107, Karnataka, India",India,40015774,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keep frozen. Thaw before using.,"EAN Code': '40015774, Country of origin': 'India, Manufactured & Marketed by': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele, Bangalore - 562107, Karnataka, India""}","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele, Bangalore - 562107, Karnataka, India",-,-,"Chicken, Water, Milk, Soild, Honey, Garlic, Sugar, Strach, Nitrite-Ins 250"
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Bon Appetit,"Bon Appetit Chicken - Meat Loaf, 100 g Pouch",Sliced Pieces form grilled Meat Loaf. Fry it shortly or enjoy it at Sandwiches or pur as a snack,100 g Pouch,g,100 g Pouch,1,1,96,96,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40015772,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40015772, Manufactured & Marketed By': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}, Country of origin': 'India","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
